1	1	0
1	2	0.16581818
1	3	0.072388777
1	4	0.016805917
1	5	0.121523753
1	6	0.005437118
1	7	0.033274913
1	8	0.153954815
1	9	0.021154993
1	10	0.011446075
1	11	0.192747213
1	12	0.05979593
1	13	0.027321594
1	14	0.118330721
2	1	0.090860275
2	2	0
2	3	0.077080281
2	4	0.038066973
2	5	0.074085235
2	6	0.033076913
2	7	0.050384504
2	8	0.195802513
2	9	0.014462266
2	10	0.027051443
2	11	0.10099201
2	12	0.13031327
2	13	0.069796399
2	14	0.098027919
3	1	0.030985308
3	2	0.13502708
3	3	0
3	4	0.132312033
3	5	0.024148727
3	6	0.10323847
3	7	0.024574506
3	8	0.243180451
3	9	0.028477473
3	10	0.013113972
3	11	0.146567091
3	12	0.017625803
3	13	0.039499455
3	14	0.061249631
4	1	0.096292535
4	2	0.08515573
4	3	0.187253402
4	4	0
4	5	0.026198596
4	6	0.00835775
4	7	0.009627195
4	8	0.039544921
4	9	0.027488626
4	10	0.044739352
4	11	0.179945517
4	12	0.166846219
4	13	0.032834018
4	14	0.095716138
5	1	0.188930097
5	2	0.246210903
5	3	0.029276344
5	4	0.005288347
5	5	0
5	6	0.006211672
5	7	0.016587543
5	8	0.095759628
5	9	0.036969184
5	10	0.02758358
5	11	0.11096449
5	12	0.182452199
5	13	0.020285461
5	14	0.033480552
6	1	0.030611058
6	2	0.274867848
6	3	0.056958343
6	4	0.091783304
6	5	0.056567705
6	6	0
6	7	0.043460554
6	8	0.044632468
6	9	0.0145949
6	10	0.064363842
6	11	0.100701486
6	12	0.080197148
6	13	0.025640813
6	14	0.115620533
7	1	0.0447697
7	2	0.07501358
7	3	0.123774342
7	4	0.005414368
7	5	0.026659303
7	6	0.009557257
7	7	0
7	8	0.138132004
7	9	0.023987505
7	10	0.026562521
7	11	0.186338687
7	12	0.112903265
7	13	0.028634873
7	14	0.198252595
8	1	0.015846068
8	2	0.248564157
8	3	0.222918485
8	4	0.009031808
8	5	0.02990114
8	6	0.002826911
8	7	0.102883661
8	8	0
8	9	0.04657806
8	10	0.034978452
8	11	0.095438844
8	12	0.075410962
8	13	0.02140769
8	14	0.094213761
9	1	0.126289869
9	2	0.02965351
9	3	0.055538992
9	4	0.008932335
9	5	0.037162054
9	6	0.010132334
9	7	0.037277296
9	8	0.090735992
9	9	0
9	10	0.058388804
9	11	0.164587982
9	12	0.219496491
9	13	0.067917422
9	14	0.093886919
10	1	0.007509402
10	2	0.168995804
10	3	0.041372249
10	4	0.01507322
10	5	0.090050345
10	6	0.038218139
10	7	0.020109719
10	8	0.23009686
10	9	0.02759292
10	10	0
10	11	0.146405121
10	12	0.105492384
10	13	0.051171152
10	14	0.057912685
11	1	0.030513036
11	2	0.102764288
11	3	0.159280889
11	4	0.013842613
11	5	0.025805482
11	6	0.035502005
11	7	0.051337746
11	8	0.103526567
11	9	0.055946941
11	10	0.068636572
11	11	0
11	12	0.163041741
11	13	0.088186717
11	14	0.101615404
12	1	0.044803529
12	2	0.189154038
12	3	0.028509837
12	4	0.020979573
12	5	0.061691924
12	6	0.010261303
12	7	0.024855539
12	8	0.082241791
12	9	0.05681594
12	10	0.042218835
12	11	0.303644613
12	12	0
12	13	0.040167148
12	14	0.09465593
13	1	0.076757152
13	2	0.1078844
13	3	0.036260052
13	4	0.014697597
13	5	0.016407232
13	6	0.001659925
13	7	0.008753838
13	8	0.047557873
13	9	0.22941079
13	10	0.069580389
13	11	0.13485355
13	12	0.154418831
13	13	0
13	14	0.10175837
14	1	0.082388331
14	2	0.22834911
14	3	0.054607354
14	4	0.023096496
14	5	0.089805343
14	6	0.032010791
14	7	0.032896487
14	8	0.09239403
14	9	0.030788118
14	10	0.001673317
14	11	0.130463363
14	12	0.138409982
14	13	0.063117278
14	14	0
